Timestamp,Sample,REG_6D,TIA1-3_RAW,TIA1-3_VALUE,TIA1-5_RAW,TIA1-5_VALUE,TIA1-8_RAW,TIA1-8_VALUE,TIA1-10_RAW,TIA1-10_VALUE
72656.250000,186,0x00001F,950876,0.544096,1241898,0.710620,949710,0.543428,468199,0.267906
73046.875000,187,0x00001F,950828,0.544068,1241809,0.710569,949925,0.543551,468185,0.267898
73437.500000,188,0x00001F,950885,0.544101,1241815,0.710572,949859,0.543514,468419,0.268032
73828.125000,189,0x00001F,951073,0.544208,1241989,0.710672,950067,0.543633,467984,0.267783
74218.750000,190,0x00001F,950671,0.543978,1242008,0.710683,949819,0.543491,468013,0.267799
74609.375000,191,0x00001F,950970,0.544149,1242361,0.710885,949918,0.543547,467981,0.267781
75000.000000,192,0x00001F,950950,0.544138,1242265,0.710830,950056,0.543626,468283,0.267954
75390.625000,193,0x00001F,950808,0.544057,1241969,0.710660,950111,0.543658,468369,0.268003
75781.250000,194,0x00001F,950737,0.544016,1241889,0.710615,950161,0.543687,468305,0.267966
76171.875000,195,0x00001F,950754,0.544026,1241687,0.710499,949826,0.543495,468133,0.267868
76562.500000,196,0x00001F,950501,0.543881,1242331,0.710868,949889,0.543531,468115,0.267858
76953.125000,197,0x00001F,950865,0.544089,1242041,0.710702,949918,0.543547,468213,0.267914
77343.750000,198,0x00001F,950941,0.544133,1242158,0.710769,949811,0.543486,468425,0.268035
77734.375000,199,0x00001F,950736,0.544016,1242210,0.710798,949909,0.543542,468199,0.267906
78125.000000,200,0x00001F,950883,0.544100,1242254,0.710823,949920,0.543549,468135,0.267869
78515.625000,201,0x00001F,950907,0.544113,1241872,0.710605,949797,0.543478,468282,0.267953
78906.250000,202,0x00001F,950958,0.544143,1242054,0.710709,949924,0.543551,468503,0.268080
79296.875000,203,0x00001F,950742,0.544019,1242097,0.710734,950086,0.543644,468207,0.267910
79687.500000,204,0x00001F,950813,0.544060,1241676,0.710493,950214,0.543717,468274,0.267949
80078.125000,205,0x00001F,951205,0.544284,1242148,0.710763,950150,0.543680,468273,0.267948
80468.750000,206,0x00001F,950862,0.544088,1242140,0.710758,950206,0.543712,468173,0.267891
80859.375000,207,0x00001F,951044,0.544192,1242002,0.710679,949870,0.543520,468091,0.267844
81250.000000,208,0x00001F,950890,0.544104,1242040,0.710701,949941,0.543561,468212,0.267913
81640.625000,209,0x00001F,950585,0.543929,1242268,0.710831,949758,0.543456,468392,0.268016
82031.250000,210,0x00001F,950698,0.543994,1242008,0.710683,949866,0.543518,468057,0.267824
82421.875000,211,0x00001F,950870,0.544092,1242142,0.710759,949957,0.543570,467693,0.267616
82812.500000,212,0x00001F,950654,0.543969,1241943,0.710645,949831,0.543498,468085,0.267840
83203.125000,213,0x00001F,950961,0.544144,1242073,0.710720,949781,0.543469,468072,0.267833
83593.750000,214,0x00001F,951101,0.544224,1241719,0.710517,949727,0.543438,468299,0.267963
83984.375000,215,0x00001F,950768,0.544034,1242034,0.710698,949892,0.543533,468374,0.268006
84375.000000,216,0x00001F,950986,0.544159,1242075,0.710721,949949,0.543565,468123,0.267862
84765.625000,217,0x00001F,951087,0.544216,1242349,0.710878,949917,0.543547,468195,0.267903
85156.250000,218,0x00001F,950841,0.544076,1242066,0.710716,949644,0.543391,468029,0.267808
85546.875000,219,0x00001F,950736,0.544016,1241962,0.710656,949750,0.543451,468269,0.267946
85937.500000,220,0x00001F,950940,0.544132,1242113,0.710743,949914,0.543545,468499,0.268077
86328.125000,221,0x00001F,950834,0.544072,1242213,0.710800,949821,0.543492,468119,0.267860
86718.750000,222,0x00001F,950752,0.544025,1242177,0.710779,949783,0.543470,468127,0.267864
87109.375000,223,0x00001F,950766,0.544033,1241887,0.710613,950116,0.543661,468106,0.267852
87500.000000,224,0x00001F,950842,0.544076,1242050,0.710707,949688,0.543416,468048,0.267819
87890.625000,225,0x00001F,950630,0.543955,1242138,0.710757,950026,0.543609,468238,0.267928
88281.250000,226,0x00001F,950879,0.544097,1241891,0.710616,949810,0.543486,467997,0.267790
88671.875000,227,0x00001F,950938,0.544131,1241914,0.710629,950011,0.543601,468122,0.267862
89062.500000,228,0x00001F,950836,0.544073,1241832,0.710582,949803,0.543482,468265,0.267943
89453.125000,229,0x00001F,950747,0.544022,1241900,0.710621,949941,0.543561,468276,0.267950
89843.750000,230,0x00001F,950691,0.543990,1241907,0.710625,950094,0.543648,468033,0.267811
90234.375000,231,0x00001F,950803,0.544054,1242012,0.710685,949609,0.543371,468096,0.267847
90625.000000,232,0x00001F,951287,0.544331,1241892,0.710616,950070,0.543634,468147,0.267876
91015.625000,233,0x00001F,950760,0.544029,1241785,0.710555,950021,0.543606,468406,0.268024
91406.250000,234,0x00001F,950804,0.544054,1241994,0.710675,949848,0.543507,468062,0.267827
91796.875000,235,0x00001F,951030,0.544184,1241895,0.710618,949862,0.543515,468158,0.267882
92187.500000,236,0x00001F,950995,0.544164,1241909,0.710626,949778,0.543467,467941,0.267758
92578.125000,237,0x00001F,950971,0.544150,1242225,0.710807,949897,0.543535,468436,0.268041
92968.750000,238,0x00001F,951012,0.544173,1242079,0.710723,950078,0.543639,468777,0.268236
93359.375000,239,0x00001F,950857,0.544085,1241930,0.710638,949889,0.543531,468165,0.267886
93750.000000,240,0x00001F,950866,0.544090,1242154,0.710766,949894,0.543534,468150,0.267878
94140.625000,241,0x00001F,950637,0.543959,1242031,0.710696,949477,0.543295,468048,0.267819
94531.250000,242,0x00001F,950712,0.544002,1242283,0.710840,950019,0.543605,468613,0.268143
94921.875000,243,0x00001F,950726,0.544010,1242012,0.710685,950047,0.543621,468119,0.267860
95312.500000,244,0x00001F,950773,0.544037,1241970,0.710661,949877,0.543524,468425,0.268035
95703.125000,245,0x00001F,950803,0.544054,1241934,0.710640,949848,0.543507,468117,0.267859
96093.750000,246,0x00001F,950823,0.544065,1241980,0.710667,950063,0.543630,468310,0.267969
96484.375000,247,0x00001F,950809,0.544057,1241975,0.710664,949771,0.543463,468082,0.267839
96875.000000,248,0x00001F,950745,0.544021,1241916,0.710630,950005,0.543597,468241,0.267930
97265.625000,249,0x00001F,951020,0.544178,1241895,0.710618,949965,0.543574,468239,0.267929
97656.250000,250,0x00001F,950886,0.544101,1241812,0.710571,949930,0.543554,468319,0.267974
