Timestamp,Sample,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z
236250,189,-0.016418,0.056458,-1.001587,0.129700,-0.022888,0.083923
237500,190,-0.018738,0.062317,-0.998474,0.099182,0.183105,0.213623
238750,191,-0.015808,0.058228,-0.999084,-0.053406,0.228882,-0.083923
240000,192,-0.017151,0.057068,-1.004639,0.030518,0.183105,0.000000
241250,193,-0.016113,0.060059,-1.006409,0.076294,0.015259,0.076294
242500,194,-0.019348,0.060791,-0.999817,-0.015259,0.099182,0.000000
243750,195,-0.017578,0.057922,-1.001343,0.045776,0.213623,0.137329
245000,196,-0.020386,0.060852,-0.998840,0.061035,-0.144958,0.061035
246250,197,-0.016235,0.059570,-0.998962,0.274658,0.030518,0.045776
247500,198,-0.018433,0.058838,-0.996277,0.198364,0.000000,0.053406
248750,199,-0.015259,0.057800,-1.001221,-0.053406,0.205994,-0.114441
250000,200,-0.014893,0.057983,-1.000854,0.015259,0.305176,-0.038147
251250,201,-0.019775,0.060974,-0.997437,-0.045776,0.404358,-0.083923
252500,202,-0.015442,0.055786,-1.001526,0.091553,0.122070,-0.030518
253750,203,-0.019287,0.059753,-0.995789,-0.022888,0.106812,-0.099182
255000,204,-0.017151,0.057617,-1.003784,0.015259,0.061035,0.007629
256250,205,-0.018982,0.058167,-1.000122,0.045776,0.190735,0.053406
257500,206,-0.018677,0.057312,-1.001038,0.114441,0.144958,0.213623
258750,207,-0.020508,0.059875,-0.997864,-0.068665,0.282288,0.061035
260000,208,-0.020203,0.062622,-0.998291,0.000000,0.144958,-0.030518
261250,209,-0.017090,0.060974,-0.999268,0.083923,-0.015259,-0.007629
262500,210,-0.016235,0.057129,-0.996826,0.000000,-0.053406,-0.053406
263750,211,-0.018982,0.059082,-0.997070,-0.038147,-0.015259,0.061035
265000,212,-0.020142,0.058533,-0.998047,0.061035,0.167847,0.030518
266250,213,-0.017822,0.059021,-0.999756,0.022888,0.190735,0.038147
267500,214,-0.017944,0.059326,-0.999329,-0.091553,0.183105,-0.091553
268750,215,-0.015930,0.060547,-0.995850,0.068665,0.160217,-0.045776
270000,216,-0.020874,0.060547,-0.999329,0.000000,0.106812,-0.015259
271250,217,-0.020874,0.060364,-1.000854,0.007629,0.213623,0.122070
272500,218,-0.019348,0.059998,-0.995544,0.190735,0.190735,0.198364
273750,219,-0.020691,0.061951,-0.998047,0.190735,0.045776,0.137329
275000,220,-0.015869,0.058594,-1.001221,0.030518,0.213623,0.114441
276250,221,-0.021790,0.058533,-1.001099,0.122070,0.099182,0.183105
277500,222,-0.019653,0.060425,-0.998657,0.083923,0.205994,0.221252
278750,223,-0.020691,0.058899,-1.000549,0.259399,0.274658,0.137329
280000,224,-0.019958,0.058533,-0.999512,0.007629,0.007629,0.045776
281250,225,-0.020386,0.057556,-1.002747,0.030518,0.198364,0.137329
282500,226,-0.020569,0.061157,-1.002319,0.045776,0.106812,-0.030518
283750,227,-0.018799,0.060364,-0.999390,0.061035,0.083923,-0.007629
285000,228,-0.016418,0.058838,-0.999817,0.000000,0.015259,0.007629
286250,229,-0.018799,0.056152,-0.998413,0.076294,0.061035,-0.030518
287500,230,-0.021667,0.063293,-0.995544,-0.038147,0.213623,-0.129700
288750,231,-0.017334,0.057007,-1.000061,-0.038147,0.106812,-0.076294
290000,232,-0.017334,0.059387,-0.998779,0.244141,0.183105,0.091553
291250,233,-0.013428,0.059021,-0.998413,0.015259,0.007629,0.343323
292500,234,-0.017517,0.058716,-0.997498,-0.022888,0.144958,-0.160217
293750,235,-0.019592,0.058716,-0.994690,-0.007629,0.198364,0.144958
295000,236,-0.013123,0.062195,-1.000427,0.144958,-0.053406,0.175476
296250,237,-0.017029,0.056824,-1.002686,0.106812,0.190735,0.076294
297500,238,-0.020447,0.059875,-0.998474,-0.053406,-0.007629,-0.007629
298750,239,-0.017273,0.063538,-1.001160,0.144958,0.122070,0.312805
300000,240,-0.016418,0.061340,-1.000305,-0.122070,0.152588,0.160217
301250,241,-0.017456,0.060852,-0.998901,-0.061035,0.167847,0.083923
302500,242,-0.018066,0.061096,-0.997192,-0.167847,0.091553,-0.015259
303750,243,-0.017029,0.057556,-0.999817,0.114441,0.144958,0.038147
305000,244,-0.017334,0.062073,-0.997986,0.000000,0.289917,0.129700
306250,245,-0.021240,0.060242,-0.997925,0.022888,0.205994,0.022888
307500,246,-0.017334,0.057617,-0.997620,0.106812,0.213623,-0.015259
308750,247,-0.019104,0.058899,-0.996704,0.068665,0.244141,0.129700
310000,248,-0.019409,0.060913,-0.998535,0.068665,0.114441,0.297546
311250,249,-0.014648,0.059937,-0.999634,0.175476,0.099182,0.076294
312500,250,-0.016907,0.059021,-1.001831,0.175476,0.175476,0.183105
313750,251,-0.021240,0.061890,-1.006348,-0.007629,0.083923,0.114441
315000,252,-0.018860,0.057068,-1.001038,-0.038147,0.106812,0.160217
316250,253,-0.015442,0.059875,-0.999329,-0.038147,0.099182,0.198364
317500,254,-0.014954,0.062073,-1.001221,0.045776,0.015259,-0.045776
318750,255,-0.014771,0.055603,-1.000183,0.122070,0.167847,0.144958
320000,256,-0.014221,0.057251,-0.999878,0.137329,0.205994,0.022888
321250,257,-0.013916,0.060730,-0.998413,0.091553,0.167847,0.305176
322500,258,-0.016479,0.059875,-0.996399,0.061035,0.053406,0.167847
323750,259,-0.015137,0.054626,-0.997925,0.137329,0.068665,0.274658
325000,260,-0.016541,0.059937,-1.005615,0.129700,0.167847,0.038147
326250,261,-0.018005,0.060364,-1.002808,0.167847,0.205994,0.183105
327500,262,-0.013489,0.058350,-1.002380,-0.007629,0.061035,0.190735
328750,263,-0.012207,0.057434,-1.001160,0.091553,0.007629,0.267029
330000,264,-0.019470,0.056213,-1.001160,0.106812,-0.038147,-0.244141
331250,265,-0.014282,0.058472,-0.995911,-0.045776,0.129700,0.122070
332500,266,-0.017151,0.057129,-1.000061,0.114441,0.228882,0.244141
333750,267,-0.014160,0.056030,-1.001770,0.083923,0.022888,0.076294
335000,268,-0.021790,0.058350,-1.000305,0.190735,0.183105,-0.022888
336250,269,-0.017822,0.064514,-1.001709,0.091553,0.175476,0.061035
337500,270,-0.013000,0.058838,-1.000671,0.114441,0.068665,0.129700
338750,271,-0.013550,0.056213,-0.999939,0.205994,0.183105,0.007629
340000,272,-0.018127,0.060852,-1.000854,0.114441,0.289917,0.038147
341250,273,-0.019348,0.057556,-1.002197,0.076294,0.160217,0.122070
342500,274,-0.015137,0.055725,-0.998840,0.015259,0.175476,-0.099182
343750,275,-0.015991,0.058777,-1.001099,0.099182,0.282288,0.038147
345000,276,-0.013062,0.055298,-0.998718,0.068665,0.160217,0.099182
346250,277,-0.017273,0.059265,-0.999756,0.106812,0.099182,-0.068665
347500,278,-0.016968,0.055115,-0.998779,0.030518,0.228882,0.122070
348750,279,-0.016663,0.058105,-1.004517,-0.053406,0.320435,0.091553
350000,280,-0.017883,0.057922,-0.998230,0.068665,0.106812,-0.015259
351250,281,-0.012390,0.056274,-0.997620,-0.007629,0.045776,0.000000
352500,282,-0.014404,0.059265,-1.001709,-0.030518,0.160217,-0.099182
353750,283,-0.012085,0.052979,-1.001099,0.030518,0.030518,0.152588
355000,284,-0.014099,0.058350,-0.998596,0.175476,0.114441,0.114441
356250,285,-0.015930,0.057678,-0.998901,-0.022888,0.213623,0.152588
357500,286,-0.016418,0.058899,-1.003906,0.099182,0.122070,-0.152588
358750,287,-0.017212,0.056091,-0.998230,0.251770,-0.045776,-0.061035
360000,288,-0.014832,0.056763,-1.001831,0.167847,0.198364,-0.190735
361250,289,-0.016968,0.059387,-1.000793,0.068665,0.160217,-0.068665
362500,290,-0.018066,0.052734,-1.000671,0.015259,0.160217,-0.061035
363750,291,-0.012329,0.058594,-0.999390,0.007629,0.320435,0.083923
365000,292,-0.014221,0.058289,-0.999878,0.175476,0.160217,0.022888
366250,293,-0.013306,0.057373,-1.005066,0.122070,0.106812,0.213623
367500,294,-0.016968,0.056274,-1.000122,-0.091553,0.144958,-0.106812
368750,295,-0.015930,0.056946,-0.999207,-0.007629,0.160217,-0.106812
370000,296,-0.015625,0.057251,-0.998779,0.144958,0.198364,0.114441
371250,297,-0.015930,0.057861,-1.002808,0.015259,0.114441,-0.053406
372500,298,-0.015747,0.055176,-1.002075,0.022888,0.198364,0.099182
373750,299,-0.012939,0.059570,-0.997253,0.000000,0.099182,-0.045776
375000,300,-0.019104,0.055176,-0.998779,0.076294,0.091553,0.045776
376250,301,-0.016296,0.055359,-1.000977,0.152588,-0.022888,0.221252
377500,302,-0.018494,0.061829,-1.000793,0.061035,0.183105,-0.061035
378750,303,-0.018494,0.061829,-1.000793,0.061035,0.183105,-0.061035
380000,304,-0.020142,0.059570,-0.996948,0.198364,0.045776,-0.198364
381250,305,-0.020142,0.059570,-0.996948,0.198364,0.045776,-0.198364
382500,306,-0.020142,0.059570,-0.996948,0.198364,0.045776,-0.198364
383750,307,-0.020142,0.059570,-0.996948,0.198364,0.045776,-0.198364
385000,308,-0.020142,0.059570,-0.996948,0.198364,0.045776,-0.198364
386250,309,-0.020142,0.059570,-0.996948,0.198364,0.045776,-0.198364
387500,310,-0.015991,0.057190,-1.001404,0.022888,0.015259,-0.045776
388750,311,-0.015991,0.057190,-1.001404,0.022888,0.015259,-0.045776
390000,312,-0.015991,0.057190,-1.001404,0.022888,0.015259,-0.045776
391250,313,-0.015991,0.057190,-1.001404,0.022888,0.015259,-0.045776
392500,314,-0.015991,0.057190,-1.001404,0.022888,0.015259,-0.045776
393750,315,-0.015991,0.057190,-1.001404,0.022888,0.015259,-0.045776
395000,316,-0.015991,0.057190,-1.001404,0.022888,0.015259,-0.045776
396250,317,-0.018555,0.061584,-0.996826,-0.068665,0.419617,0.152588
397500,318,-0.018555,0.061584,-0.996826,-0.068665,0.419617,0.152588
398750,319,-0.018555,0.061584,-0.996826,-0.068665,0.419617,0.152588
400000,320,-0.018555,0.061584,-0.996826,-0.068665,0.419617,0.152588
401250,321,-0.018555,0.061584,-0.996826,-0.068665,0.419617,0.152588
402500,322,-0.018555,0.061584,-0.996826,-0.068665,0.419617,0.152588
403750,323,-0.018555,0.061584,-0.996826,-0.068665,0.419617,0.152588
405000,324,-0.019043,0.061035,-1.000122,0.129700,0.190735,-0.152588
406250,325,-0.019043,0.061035,-1.000122,0.129700,0.190735,-0.152588
